Country,date,n.first_dose,n.second_dose,first_dose,second_dose,n.first_dose_perc,n.second_dose_perc,first_dose_perc,second_dose_perc,age_group,Poblacion
Italy,2021-01-08,9153,0,48372,0,0.00151631743433723,0,0.00801347175065665,0,20-29,6036335
Italy,2021-01-09,9001,0,57373,0,0.00149113659198835,0,0.009504608342645,0,20-29,6036335
Italy,2021-01-10,7529,0,64902,0,0.00124728001345187,0,0.0107518883560969,0,20-29,6036335
Italy,2021-01-11,8412,0,73314,0,0.00139356082788646,0,0.0121454491839833,0,20-29,6036335
Italy,2021-01-12,8770,0,82084,0,0.00145286833815552,0,0.0135983175221388,0,20-29,6036335
Italy,2021-01-13,10297,0,92381,0,0.00170583640569982,0,0.0153041539278387,0,20-29,6036335
Italy,2021-01-14,10404,0,102785,0,0.00172356239340593,0,0.0170277163212446,0,20-29,6036335
Italy,2021-01-15,10176,0,112961,0,0.00168579112988262,0,0.0187135074511272,0,20-29,6036335
Italy,2021-01-16,7956,0,120917,0,0.00131801830083983,0,0.020031525751967,0,20-29,6036335
Italy,2021-01-17,4813,266,125730,266,0.000797338119902225,4.40664741105323e-05,0.0208288638718693,4.40664741105323e-05,20-29,6036335
Italy,2021-01-18,3765,405,129495,671,0.000623722838444188,6.7093691784833e-05,0.0214525867103135,0.000111160165895365,20-29,6036335
Italy,2021-01-19,3070,120,132565,791,0.000508586750072685,1.98796123806913e-05,0.0219611734603861,0.000131039778276057,20-29,6036335
Italy,2021-01-20,2245,333,134810,1124,0.000371914414955432,5.51659243564183e-05,0.0223330878753416,0.000186205702632475,20-29,6036335
Italy,2021-01-21,1323,1579,136133,2703,0.000219172726497121,0.000261582566242596,0.0225522606018387,0.000447788268875071,20-29,6036335
Italy,2021-01-22,1174,1114,137307,3817,0.000194488874457763,0.000184549068267417,0.0227467494762965,0.000632337337142488,20-29,6036335
Italy,2021-01-23,446,2993,137753,6810,7.38858926815692e-05,0.000495830665461741,0.022820635368978,0.00112816800260423,20-29,6036335
Italy,2021-01-24,335,2942,138088,9752,5.54972512294298e-05,0.000487381830199947,0.0228761326202075,0.00161554983280418,20-29,6036335
Italy,2021-01-25,380,5810,138468,15562,6.2952105872189e-05,0.000962504566098469,0.0229390847260796,0.00257805439890265,20-29,6036335
Italy,2021-01-26,303,6383,138771,21945,5.01960212612454e-05,0.00105742971521627,0.0229892807473409,0.00363548411411891,20-29,6036335
Italy,2021-01-27,728,6689,139499,28634,0.000120602981776194,0.00110812272678703,0.0231098837291171,0.00474360684090595,20-29,6036335
Italy,2021-01-28,403,7553,139902,36187,6.67623649118215e-05,0.00125125593592801,0.0231766460940289,0.00599486277683396,20-29,6036335
Italy,2021-01-29,447,9061,140349,45248,7.4051556118075e-05,0.0015010763981787,0.023250697650147,0.00749593917501265,20-29,6036335
Italy,2021-01-30,384,8787,140733,54035,6.3614759618212e-05,0.00145568461657612,0.0233143124097652,0.00895162379158877,20-29,6036335
Italy,2021-01-31,249,6964,140982,60999,4.12501956899344e-05,0.00115368017182612,0.0233555626054551,0.0101053039634149,20-29,6036335
Italy,2021-02-01,392,8746,141374,69745,6.49400671102581e-05,0.00144889241567938,0.0234205026725654,0.0115541963790943,20-29,6036335
Italy,2021-02-02,748,8648,142122,78393,0.000123916250506309,0.00143265739890182,0.0235444189230717,0.0129868537779961,20-29,6036335
Italy,2021-02-03,958,10191,143080,88584,0.000158705572172519,0.00168827608143021,0.0237031244952442,0.0146751298594263,20-29,6036335
Italy,2021-02-04,1497,10525,144577,99109,0.000247998164449124,0.00174360766922313,0.0239511226596933,0.0164187375286494,20-29,6036335
Italy,2021-02-05,2068,10304,146645,109413,0.000342591986693913,0.00170699604975536,0.0242937146463873,0.0181257335784048,20-29,6036335
Italy,2021-02-06,1956,7613,148601,117026,0.000324037681805268,0.00126119574211835,0.0246177523281925,0.0193869293205231,20-29,6036335
Italy,2021-02-07,1503,4424,150104,121450,0.000248992145068158,0.000732895043101485,0.0248667444732607,0.0201198243636246,20-29,6036335
Italy,2021-02-08,2903,4139,153007,125589,0.000480920956176223,0.000685680963697343,0.0253476654294369,0.020805505327322,20-29,6036335
Italy,2021-02-09,3831,3247,156838,128836,0.000634656625253569,0.000537909178334204,0.0259823220546905,0.0213434145056562,20-29,6036335
Italy,2021-02-10,5891,2460,162729,131296,0.000975923304455435,0.000407532053804171,0.0269582453591459,0.0217509465594603,20-29,6036335
Italy,2021-02-11,7056,1499,169785,132795,0.00116892120798465,0.000248329491322135,0.0281271665671306,0.0219992760507825,20-29,6036335
Italy,2021-02-12,7574,1234,177359,134029,0.00125473486809463,0.000204428680648109,0.0293819014352252,0.0222037047314306,20-29,6036335
Italy,2021-02-13,5229,443,182588,134472,0.000866254109488622,7.33889023720519e-05,0.0302481555447138,0.0222770936338026,20-29,6036335
Italy,2021-02-14,2648,297,185236,134769,0.000438676779867254,4.92020406422109e-05,0.0306868323245811,0.0223262956744448,20-29,6036335
Italy,2021-02-15,5684,582,190920,135351,0.000941630973098743,9.64161200463526e-05,0.0316284632976798,0.0224227117944912,20-29,6036335
Italy,2021-02-16,4996,506,195916,135857,0.00082765452878278,8.38256988719148e-05,0.0324561178264626,0.0225065374933631,20-29,6036335
Italy,2021-02-17,5594,888,201510,136745,0.000926721263813224,0.000147109131617115,0.0333828390902758,0.0226536466249802,20-29,6036335
Italy,2021-02-18,7048,674,208558,137419,0.0011675959004926,0.000111657156204883,0.0345504349907684,0.0227653037811851,20-29,6036335
Italy,2021-02-19,7248,738,215806,138157,0.00120072858779375,0.000122259616141251,0.0357511635785622,0.0228875633973264,20-29,6036335
Italy,2021-02-20,5095,398,220901,138555,0.00084405520899685,6.59340477292927e-05,0.036595218787559,0.0229534974450557,20-29,6036335
Italy,2021-02-21,2634,207,223535,138762,0.000436357491756173,3.42923313566924e-05,0.0370315762793152,0.0229877897764123,20-29,6036335
Italy,2021-02-22,5238,464,228773,139226,0.000867745080417174,7.68678345386729e-05,0.0378993213597324,0.023064657610951,20-29,6036335
Italy,2021-02-23,5231,585,234004,139811,0.000866585436361633,9.69131103558699e-05,0.038765906796094,0.0231615707213069,20-29,6036335
Italy,2021-02-24,4927,777,238931,140588,0.000816223751663882,0.000128720490164976,0.0395821305477579,0.0232902912114719,20-29,6036335
Italy,2021-02-25,4711,1333,243642,141921,0.000780440449378638,0.000220829360862179,0.0403625709971365,0.023511120572334,20-29,6036335
Italy,2021-02-26,5029,1852,248671,143773,0.00083312142218747,0.000306808684408669,0.041195692419324,0.0238179292567427,20-29,6036335
Italy,2021-02-27,4000,1605,252671,145378,0.000662653746023042,0.000265889815591746,0.041858346165347,0.0240838190723345,20-29,6036335
Italy,2021-02-28,2564,1231,255235,146609,0.00042476105120077,0.000203931690338591,0.0422831072165478,0.024287750762673,20-29,6036335
Italy,2021-03-01,4247,2876,259482,149485,0.000703572614839965,0.000476448043390567,0.0429866798313878,0.0247641988060636,20-29,6036335
Italy,2021-03-02,5205,3913,264687,153398,0.000862278187012484,0.000648241027047041,0.0438489580184002,0.0254124398331107,20-29,6036335
Italy,2021-03-03,5287,5383,269974,158781,0.000875862588805956,0.000891766278710509,0.0447248206072062,0.0263042061118212,20-29,6036335
Italy,2021-03-04,6048,5888,276022,164669,0.00100193246398684,0.000975426314145918,0.045726753071193,0.0272796324259671,20-29,6036335
Italy,2021-03-05,6329,6970,282351,171639,0.00104848388964496,0.00115467415244515,0.046775236960838,0.0284343065784122,20-29,6036335
Italy,2021-03-06,6408,4395,288759,176034,0.00106157130112891,0.000728090803442818,0.0478368082619669,0.0291623973818551,20-29,6036335
Italy,2021-03-07,3560,1961,292319,177995,0.000589761833960507,0.000324865998987796,0.0484265700959274,0.0294872633808428,20-29,6036335
Italy,2021-03-08,5969,4678,298288,182673,0.000988845052502885,0.000774973555973948,0.0494154151484303,0.0302622369368168,20-29,6036335
Italy,2021-03-09,6394,4103,304682,186776,0.00105925201301783,0.000679717079983135,0.0504746671614481,0.0309419540167999,20-29,6036335
Italy,2021-03-10,7121,4042,311803,190818,0.00117968933135752,0.000669611610356284,0.0516543564928056,0.0316115656271562,20-29,6036335
Italy,2021-03-11,7478,4565,319281,195383,0.00123883117819008,0.000756253587648797,0.0528931876709957,0.032367819214805,20-29,6036335
Italy,2021-03-12,7652,4690,326933,200073,0.00126765661614208,0.000776961517212017,0.0541608442871378,0.033144780732017,20-29,6036335
Italy,2021-03-13,6355,3077,333288,203150,0.00105279113899411,0.000509746394128225,0.0552136354261319,0.0336545271261453,20-29,6036335
Italy,2021-03-14,3859,1544,337147,204694,0.00063929520147573,0.000255784345964894,0.0558529306276076,0.0339103114721101,20-29,6036335
Italy,2021-03-15,5391,3300,342538,207994,0.000893091586202555,0.00054668934046901,0.0567460222138102,0.0344570008125792,20-29,6036335
Italy,2021-03-16,1547,2983,344085,210977,0.000256281336274412,0.000494174031096684,0.0570023035500846,0.0349511748436758,20-29,6036335
Italy,2021-03-17,1552,3035,345637,214012,0.00025710965345694,0.000502788529794983,0.0572594132035416,0.0354539633734708,20-29,6036335
Italy,2021-03-18,1855,2254,347492,216266,0.000307305674718186,0.000373405385883984,0.0575667188782597,0.0358273687593548,20-29,6036335
Italy,2021-03-19,3405,2245,350897,218511,0.000564084001302115,0.000371914414955432,0.0581308028795619,0.0361992831743102,20-29,6036335
Italy,2021-03-20,5162,1251,356059,219762,0.000855154659242736,0.000207244959068706,0.0589859575388046,0.0364065281333789,20-29,6036335
Italy,2021-03-21,4631,1349,360690,221111,0.000767187374458177,0.000223479975846271,0.0597531449132628,0.0366300081092252,20-29,6036335
Italy,2021-03-22,6695,1669,367385,222780,0.00110911670740607,0.000276492275528114,0.0608622616206688,0.0369065003847533,20-29,6036335
Italy,2021-03-23,7086,1933,374471,224713,0.00117389111107982,0.000320227422765635,0.0620361527317487,0.037226727807519,20-29,6036335
Italy,2021-03-24,7860,1396,382331,226109,0.00130211461093528,0.000231266157362042,0.0633382673426839,0.037457993964881,20-29,6036335
Italy,2021-03-25,8353,1560,390684,227669,0.00138378668513262,0.000258434960948986,0.0647220540278165,0.03771642892583,20-29,6036335
Italy,2021-03-26,8170,1841,398854,229510,0.00135347027625206,0.000304986386607105,0.0660755243040686,0.0380214153124371,20-29,6036335
Italy,2021-03-27,7116,1537,405970,231047,0.00117886101417499,0.000254624701909354,0.0672543853182436,0.0382760400143465,20-29,6036335
Italy,2021-03-28,4406,1041,410376,232088,0.000729913101244381,0.000172455637402497,0.067984298419488,0.038448495651749,20-29,6036335
Italy,2021-03-29,6761,1119,417137,233207,0.00112005049421545,0.000185377385449946,0.0691043489137034,0.0386338730371989,20-29,6036335
Italy,2021-03-30,6230,1292,423367,234499,0.00103208320943089,0.000214037159965443,0.0701364321231343,0.0388479101971643,20-29,6036335
Italy,2021-03-31,7001,1692,430368,236191,0.00115980971897683,0.000280302534567747,0.0712962418421112,0.0391282127317321,20-29,6036335
Italy,2021-04-01,6358,1581,436726,237772,0.00105328812930363,0.000261913893115607,0.0723495299714148,0.0393901266248477,20-29,6036335
Italy,2021-04-02,6287,1355,443013,239127,0.00104152602531172,0.000224473956465306,0.0733910559967265,0.039614600581313,20-29,6036335
Italy,2021-04-03,3640,873,446653,240000,0.000603014908880968,0.000144624180069529,0.0739940709056075,0.0397592247613825,20-29,6036335
Italy,2021-04-04,1657,175,448310,240175,0.000274504314290045,2.89911013885081e-05,0.0742685752198975,0.039788215862771,20-29,6036335
Italy,2021-04-05,3148,792,451458,240967,0.000521508498120134,0.000131205441712562,0.0747900837180176,0.0399194213044836,20-29,6036335
Italy,2021-04-06,5507,1635,456965,242602,0.000912308544837223,0.000270859718686918,0.0757023922628549,0.0401902810231705,20-29,6036335
